state,total_loans,percent
DC,259,17.760617760617762
DE,262,16.793893129770993
WI,1271,16.443745082612114
AR,1076,16.356877323420075
LA,2862,15.86303284416492
NV,1874,15.795090715048026
TN,2448,15.727124183006536
IL,11080,15.460288808664261
NY,3854,15.412558380902958
IN,1862,15.145005370569281
MI,2870,14.947735191637632
VA,1265,14.308300395256918
GA,8865,13.728144388042866
TX,7479,13.664928466372508
CA,8837,13.579268982686433
OH,3363,13.559322033898304
SC,1539,12.865497076023392
AZ,1395,12.759856630824373
PA,2413,12.681309573145464
MO,1471,12.64445955132563
AL,1830,12.349726775956285
MD,1327,12.207987942727957
WY,34,11.76470588235294
FL,6522,11.422876418276601
IA,496,11.29032258064516
NJ,1322,10.968229954614221
NC,1702,10.928319623971799
MN,771,10.894941634241246
MS,1644,10.766423357664232
AK,67,10.44776119402985
